



2025-04-09T18:25:00.085129-06:00,42.67,"monitor.exe (PID: 19096): 266.67%
explorer.exe (PID: 17988): 66.67%
svchost.exe (PID: 22068): 0.00%
svchost.exe (PID: 2976): 0.00%
Code.exe (PID: 8012): 0.00%",11154MB,,0KB
2025-04-09T18:35:00.150843300-06:00,4.09,"Discord.exe (PID: 6448): 3.96%
audiodg.exe (PID: 4180): 2.98%
WhatsApp.exe (PID: 19332): 1.89%
VoicemodDesktop.exe (PID: 12044): 1.85%
Spotify.exe (PID: 10872): 1.73%",9659MB,,11812KB
2025-04-09T18:45:00.200866100-06:00,5.99,"audiodg.exe (PID: 4180): 3.64%
Spotify.exe (PID: 17164): 3.45%
Discord.exe (PID: 6448): 3.31%
VoicemodDesktop.exe (PID: 12044): 2.10%
explorer.exe (PID: 17988): 1.73%",9478MB,,36061KB
2025-04-09T18:55:00.262917600-06:00,4.10,"Spotify.exe (PID: 17164): 8.19%
Spotify.exe (PID: 18568): 4.99%
audiodg.exe (PID: 4180): 3.12%
VoicemodDesktop.exe (PID: 12044): 1.62%
Spotify.exe (PID: 10872): 1.58%",9589MB,,4348KB
2025-04-09T19:05:00.322460300-06:00,12.00,"Spotify.exe (PID: 17164): 9.15%
Spotify.exe (PID: 18568): 5.07%
audiodg.exe (PID: 4180): 4.36%
Discord.exe (PID: 6448): 2.32%
VoicemodDesktop.exe (PID: 12044): 1.94%",13335MB,,24353KB
2025-04-09T19:15:00.482398100-06:00,25.51,"chrome.exe (PID: 26304): 11.08%
chrome.exe (PID: 13064): 8.40%
audiodg.exe (PID: 4180): 5.37%
Discord.exe (PID: 6448): 4.90%
explorer.exe (PID: 17988): 2.76%",11765MB,,280702KB
2025-04-09T19:25:00.552409-06:00,26.03,"RobloxPlayerBeta.exe (PID: 3116): 192.42%
chrome.exe (PID: 13064): 10.36%
svchost.exe (PID: 15232): 6.64%
audiodg.exe (PID: 4180): 5.62%
chrome.exe (PID: 7332): 4.89%",12090MB,,103971KB
2025-04-09T19:35:00.614780700-06:00,24.80,"RobloxPlayerBeta.exe (PID: 3116): 193.88%
chrome.exe (PID: 13064): 9.51%
chrome.exe (PID: 5284): 9.14%
svchost.exe (PID: 15232): 7.01%
audiodg.exe (PID: 4180): 5.45%",12411MB,,191525KB
2025-04-09T19:45:00.675443200-06:00,26.16,"RobloxPlayerBeta.exe (PID: 3116): 169.05%
chrome.exe (PID: 5284): 32.78%
Discord.exe (PID: 6448): 8.77%
svchost.exe (PID: 15232): 6.13%
chrome.exe (PID: 13064): 5.89%",12078MB,,112739KB
2025-04-09T19:55:00.740052-06:00,24.44,"RobloxPlayerBeta.exe (PID: 3116): 178.21%
chrome.exe (PID: 5284): 28.77%
svchost.exe (PID: 15232): 5.98%
audiodg.exe (PID: 4180): 5.33%
chrome.exe (PID: 13064): 4.96%",11893MB,,63865KB
2025-04-09T20:05:00.794598-06:00,24.21,"RobloxPlayerBeta.exe (PID: 3116): 173.88%
chrome.exe (PID: 5284): 19.38%
chrome.exe (PID: 13064): 8.48%
svchost.exe (PID: 15232): 6.39%
audiodg.exe (PID: 4180): 5.50%",12310MB,,235166KB
2025-04-09T20:15:00.850698700-06:00,23.68,"RobloxPlayerBeta.exe (PID: 3116): 177.31%
chrome.exe (PID: 5284): 13.59%
chrome.exe (PID: 13064): 10.91%
svchost.exe (PID: 15232): 6.91%
audiodg.exe (PID: 4180): 5.60%",11906MB,,219989KB
2025-04-09T20:25:00.913173700-06:00,17.88,"chrome.exe (PID: 5284): 8.82%
chrome.exe (PID: 13064): 4.88%
audiodg.exe (PID: 4180): 4.39%
Discord.exe (PID: 6448): 2.63%
iCloudHome.exe (PID: 15148): 1.93%",9211MB,,29416KB
2025-04-09T20:35:00.962845-06:00,9.61,"Discord.exe (PID: 6448): 1.52%
iCloudHome.exe (PID: 15148): 1.26%
EpicGamesLauncher.exe (PID: 4164): 0.68%
VoicemodDesktop.exe (PID: 12044): 0.67%
explorer.exe (PID: 17988): 0.60%",11084MB,,5793KB
2025-04-09T20:45:01.020001700-06:00,6.85,"Discord.exe (PID: 6448): 1.29%
iCloudHome.exe (PID: 15148): 0.89%
EpicGamesLauncher.exe (PID: 4164): 0.77%
VoicemodDesktop.exe (PID: 12044): 0.69%
explorer.exe (PID: 17988): 0.60%",9849MB,,1834KB
